TALLY_ENTRY_ID,RECON_INST,TRANS_PRODUCT_CODE,TRANS_EVENT_CODE,DIRECTION,IS_AUTO_OPEN,EXT_PROPERTY,ACCOUNT_TYPE,OPERATOR,MEMO,GMT_CREATE,GMT_MODIFIED
"01012074","3008","100060060001","07001","C","F",,"INNERTRANS","system","结算管理-融资-单笔对接招财宝-还款-C","2016-05-13 11:08:05","2016-05-13 11:08:05"
"01012076","3008","100060060001","01013","D","F",,"INNERTRANS","system","结算管理-融资-单笔对接招财宝-还款-提现-D","2016-05-13 11:08:05","2016-05-13 11:08:05"
"01012083","3008","100060020004","07001","C","F",,"INNERTRANS","system","结算管理-融资-资产证券化-还款-支付-C","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012084","3008","100060020004","01013","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-还款-提现-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012500","3008","060030070000","07002","C","F",,"INNERTRANS","system"," 支付管理-投资理财-理财募集","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012502","3008","060030070000","07005","D","F",,"INNERTRANS","system"," 支付管理-投资理财-理财募集","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012504","3008","060030070000","01013","D","F",,"INNERTRANS","system"," 支付管理-投资理财-理财募集","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012506","3008","060030070000","07003","D","F",,"INNERTRANS","system"," 支付管理-投资理财-理财募集","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012508","3008","060030090000","07005","D","F",,"INNERTRANS","system"," 支付管理-投资理财-理财保费收取-D","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012509","3008","060030090000","07005","C","F",,"INNERTRANS","system"," 支付管理-投资理财-理财保费收取-C","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012510","3008","060030080000","07005","D","F",,"INNERTRANS","system"," 支付管理-投资理财-理财财务收费-D","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012511","3008","060030080000","07005","C","F",,"INNERTRANS","system"," 支付管理-投资理财-理财财务收费-C","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01012514","3008","060030080000","03002","D","F",,"INNERTRANS","system","支付管理-投资理财-理财财务收费-支出","2016-05-13 22:28:56","2016-05-13 22:28:56"
